sort_order,zoom_list,title,matchstring
2,True,Wayback Machine,%Migrate dead links to Wayback Machine%
6,True,Improve diffs,%Improve diff compare screen%
9,True,Global repository,"%Central Global Repository for Templates, Lua modules, and Gadgets%"
5,True,Cross-wiki watchlists,%Cross-wiki watchlists%
4,True,Numerical sorting,%Natural number sorting in category listings%
10,True,Commons translated categories,%Allow categories in Commons in all languages%
3,True,Pageview Stats,%Pageview Stats tool%
11,True,Global user talk,%Provide global user talk page (header)%
7,True,Copy and paste detection,%copy and paste detection%
8,True,User watchlist,%that lists all recent contributions of a set of users%
12,True,Fixes,%Community-Tech-fixes%
13,True,Rev Slider,%RevSlider%
14,True,WikiProject tools,%WikiProject-tools%
1,True,Gadgets 2.0,%Gadgets-2.0%
15,True,CopyVio tools,%CopyVio-tools%
16,True,Other,PhlogOther
17,False,Blocked,%Blocked%
18,False,Frozen,%Frozen%
